'菱生'
'大同'
'震旦行'
'佳能'
'凱美'
'技嘉'
'微星'
'瑞昱'
'虹光'
'廣達'
'台光電'
'群光'
'精元'
'威盛'
'云辰'
'正崴'
'億光'
'研華'
'友通'
'映泰'
'凌陽'
'毅嘉'
'漢唐'
'輔信'
'國碩'
'南亞科'
'友達'
'中華電'
'環科'
'精技'
'錩新'
'圓剛'
'仲琦'
'新巨'
'建準'
'固緯'
'隴華'
'承啟'
'鼎元'
'三商電'
'興勤'
'銘旺科'
'燦坤'
'聯昌'
'倚天酷碁-創'
'互盛電'
'統懋'
'偉詮電'
'翔耀'
'美律'
'太空梭'
'超豐'
'新美齊'
'兆勁'
'京元電子'
'神腦'
'創見'
'凌群'
'聯發科'
'全新'
'飛宏'
'義隆'
'敦吉'
'建通'
'光群雷'
'良得電'
'盟立'
'麗臺'
'冠西電'
'志聖'
'華經'
'資通'
'立隆電'
'可成'
'鉅祥'
'美隆電'
'大毅'
'敦陽科'
'強茂'
'連宇'
'百容'
'希華'
'兆赫'
'一詮'
'漢平'
'瑞軒'
'吉祥全'
'華新科'
'揚博'
'普安'
'卓越'
'怡利電'
'宏達電'
'國建'
'國產'
'國揚'
'太設'
'全坤建'
'太子'
'龍邦'
