'台灣虎航-創'
'志強-KY'
'力積電'
'展碁國際'
'AES-KY'
'視陽'
'采鈺'
'永豐實'
'詠業'
'晉弘'
'來頡'
'富世達'
'森崴能源'
'峰源-KY'
'汎銓'
'天二科技'
'圓裕'
'錼創科技-KY創'
'睿生光電'
'永道-KY'
'雲豹能源-創'
'泓德能源-創'
'鑽石投資'
'走著瞧-創'
'現觀科'
'阜爾運通'
'華凌'
'AMAX-KY'
'天虹'
'沛爾生醫-創'
'台通'
'矽創'
'尖點'
'昇陽半導體'
'雷虎'
'台虹'
'南電'
'長華*'
'陞泰'
'致新'
'華冠'
'瀚荃'
'錸寶'
'凌巨'
'華東'
'至上'
'至上甲特'
'振樺電'
'福懋科'
'南茂'
'微矽電子-創'
'達方'
'無敵'
'勤誠'
'志超'
'明基材'
'寶一'
'菱光'
'富鼎'
'宇瞻'
'日友'
'建新國際'
'羅昇'
'百和興業-KY'
'福貞-KY'
'可寧衛'
'金麗-KY'
'昶昕'
'威宏-KY'
'阿瘦'
'富邦媒'
'柏文'
'潤泰材'
'億豐'
'美吉吉-KY'
'波力-KY'
'山林水'
'台境'
'東哥遊艇'
'政伸'
'商億-KY'
'愛爾達-創'
'吉源-KY'
'鼎炫-KY'
'台汽電'
'新天地'
'高力'
'美德醫療-DR'
'康師傅-DR'
'泰金寶-DR'
'神州-DR'
'越南控-DR'
'明輝-DR'
'泰聚亨-DR'
'同方友友-DR'
'晨訊科-DR'
'巨騰-DR'
'鈺齊-KY'
'台火'
'寶成'
