'明泰'
'玉晶光'
'京鼎'
'融程電'
'譁裕'
'台端'
'榮創'
'創意'
'展達'
'聯鈞'
'晶睿'
'群創'
'誠研'
'維熹'
'揚明光'
'華擎'
'柏騰'
'安馳'
'晶相光'
'台勝科'
'嘉澤'
'晶彩科'
'州巧'
'敦泰'
'聯穎'
'嘉威'
'牧德'
'聯合再生'
'辛耘'
'通嘉'
'艾笛森'
'瑞鼎'
'力銘'
'智易'
'宏致'
'谷崧'
'碩天'
'洋華'
'達邁'
'精聯'
'健策'
'世芯-KY'
'貿聯-KY'
'圓展'
'TPK-KY'
'新至陞'
'達能'
'海華'
'大眾控'
'大聯大'
'大聯大甲特'
'欣陸'
'合勤控'
'永信'
'神達'
'上緯投控'
'日月光投控'
'永崴投控'
'富采'
'定穎投控'
'佳醫'
'雃博'
'懷特'
'旭富'
'亞諾法'
'麗豐-KY'
'國光生'
'全宇生技-KY'
'訊映'
'承業醫'
'佐登-KY'
'炎洲'
'如興'
'利勤'
'廣越'
'冠星-KY'
'宜新實業'
'東台'
'瑞智'
'拓凱'
'全球傳動'
'銘鈺'
'智伸科'
'力達-KY'
'氣立'
'永新-KY'
'強信-KY'
'穎漢'
'元翎'
'時碩工業'
'六方科-KY'
'鈞興-KY'
'駐龍'
'大銀微系統'
'光隆精密-KY'
'台灣精銳'
'玖鼎電力'
'德淵'
'國精化'
'泰博'
