'大豐電'
'豐藝'
'精成科'
'巨路'
'帆宣'
'佳必琪'
'亞弘電'
'盛群'
'詮欣'
'飛捷'
'今國光'
'聯茂'
'精誠'
'和椿'
'居易'
'聚鼎'
'天瀚'
'光鼎'
'尼得科超眾'
'華孚'
'力成'
'迅杰'
'矽格'
'台郡'
'同欣電'
'宏正'
'台表科'
'全國電'
'康舒'
'淳安'
'啟碁'
'聯嘉'
'悅城'
'旭隼'
'群電'
'樺漢'
'矽力*-KY'
'瑞祺電通'
'統新'
'光麗-KY'
'迅得'
'光聖'
'元晶'
'藥華藥'
'鈺邦'
'訊芯-KY'
'GIS-KY'
'台數科'
'保瑞'
'安集'
'晶碩'
'南六'
'台塑化'
'穎崴'
'捷敏-KY'
'達發'
'愛普*'
'晶心科'
'正瀚-創'
'泰福-KY'
'北極星藥業-KY'
'易華電'
'興能高'
'虹揚-KY'
'研揚'
'鋼聯'
'申豐'
'鼎基'
'動力-KY'
'和潤企業'
'和潤企業甲特'
'和潤企業乙特'
'ABC-KY'
'帝寶'
'建德工業'
'必應'
'基士德-KY'
'金萬林-創'
'科定'
'華安'
'聯策'
'羅麗芬-KY'
'中揚光'
'緯穎'
'復盛應用'
'三能-KY'
'騰輝電子-KY'
'鋐寶科技'
'伊雲谷'
'洋基工程'
'芯鼎'
'旭暉應材'
'惠特'
'嘉基'
'力智'
'澤米'
'安普新'
'龍德造船'
'匯僑設計'
'威鋒電子'
