'味王'
'大成'
'大飲'
'卜蜂'
'統一'
'愛之味'
'泰山'
'福壽'
'台榮'
'福懋油'
'佳格'
'聯華'
'聯華食'
'大統益'
'天仁'
'黑松'
'興泰'
'宏亞'
'鮮活果汁-KY'
'台塑'
'南亞'
'台聚'
'華夏'
'三芳'
'亞聚'
'台達化'
'台苯'
'國喬'
'國喬特'
'聯成'
'中石化'
'達新'
'上曜'
'東陽'
'大洋'
'永裕'
'地球'
'恆大'
'台化'
'再生-KY'
'廣華-KY'
'昭輝'
'勝悅-KY'
'富林-KY'
'八貫'
'遠東新'
'新纖'
'南染'
'宏洲'
'東和'
'廣豐'
'嘉裕'
'東華'
'新紡'
'利華'
'大魯閣'
'福懋'
'中福'
'華友聯'
'勤益控'
'三地開發'
'雋揚'
'南紡'
'大東'
'名軒'
'立益物流'
'力麗'
'大宇'
'宏和'
'力鵬'
'佳和'
'年興'
'宏益'
'大將'
'台富'
'集盛'
'怡華'
'宜進'
'聯發'
'宏遠'
'強盛'
'得力'
'偉全'
'聚隆'
'南緯'
'昶和'
'大統新創'
'首利'
'三洋實業'
'台南'
'弘裕'
'業旺'
'儒鴻'
'聚陽'
'士電'
'東元'
'正道'
'瑞利'
'中興電'
'亞力'
