'燁興'
'高興昌'
'第一銅'
'春源'
'春雨'
'中鋼構'
'中鴻'
'豐興'
'官田鋼'
'美亞'
'聚亨'
'燁輝'
'志聯'
'千興'
'大成鋼'
'威致'
'盛餘'
'彰源'
'新光鋼'
'新鋼'
'佳大'
'允強'
'海光'
'上銀'
'川湖'
'橋椿'
'運錩'
'南港'
'泰豐'
'台橡'
'國際中橡'
'正新'
'建大'
'厚生'
'南帝'
'華豐'
'鑫永銓'
'六暉-KY'
'裕隆'
'中華'
'三陽工業'
'和泰車'
'台船'
'長榮鋼'
'裕日車'
'劍麟'
'為升'
'宇隆'
'百達-KY'
'英利-KY'
'艾姆勒'
'宏旭-KY'
'汎德永業'
'IKKA-KY'
'巨鎧精密-創'
'鴻華先進-創'
'光寶科'
'麗正'
'聯電'
'全友'
'台達電'
'金寶'
'華通'
'台揚'
'楠梓電'
'鴻海'
'東訊'
'中環'
'仁寶'
'國巨'
'廣宇'
'華泰'
'台積電'
'精英'
'友訊'
'旺宏'
'光罩'
'台亞'
'茂矽'
'華邦電'
'智邦'
'聯強'
'海悅'
'海悅甲特'
'錸德'
'順德'
'佳世達'
'宏碁'
'鴻準'
'敬鵬'
'英業達'
'華碩'
'所羅門'
'致茂'
'藍天'
'矽統'
'倫飛'
'昆盈'
'燿華'
'金像電'
