'力山'
'川飛'
'利奇'
'華城'
'大億'
'堤維西'
'堤維西甲特'
'耿鼎'
'江申'
'日馳'
'鑽全'
'恩德'
'樂事綠能'
'亞崴'
'高林股'
'勤美'
'車王電'
'中宇'
'和大'
'廣隆'
'正峰'
'巨庭'
'喬福'
'錩泰'
'伸興'
'中砂'
'巧新'
'倉佑'
'信錦'
'程泰'
'吉茂'
'永冠-KY'
'亞德客-KY'
'直得'
'岱宇'
'華電'
'聲寶'
'華新'
'華榮'
'大亞'
'中電'
'宏泰'
'三洋電'
'大山'
'億泰'
'榮星'
'合機'
'艾美特-KY'
'中化'
'南僑'
'葡萄王'
'東鹼'
'和益'
'東聯'
'永光'
'興農'
'國化'
'和桐'
'長興'
'中纖'
'生達'
'三晃'
'台肥'
'中碳'
'元禎'
'永記'
'中華化'
'花仙子'
'美吾華'
'毛寶'
'五鼎'
'杏輝'
'日勝化'
'喬山'
'臺鹽'
'南光'
'寶齡富錦'
'中化生'
'勝一'
'展宇'
'和康生'
'科妍'
'神隆'
'美時'
'台玻'
'寶徠'
'冠軍'
'潤隆'
'中釉'
'和成'
'凱撒衛'
'士紙'
'正隆'
'華紙'
'寶隆'
'永豐餘'
'榮成'
'中鋼'
'中鋼特'
'東和鋼鐵'
