'華廣'
'康普'
'台耀'
'三福化'
'材料-KY'
'雙鍵'
'南寶'
'上品'
'望隼'
'日成-KY'
'遠傳'
'正文'
'聯德控股-KY'
'致伸'
'事欣科'
'新唐'
'泰鼎-KY'
'燦星網'
'太極'
'茂林-KY'
'和碩'
'嘉彰'
'康控-KY'
'有成精密'
'凌通'
'光鋐'
'臻鼎-KY'
'誠美材'
'天鈺'
'十銓'
'立積'
'佳凌'
'眾達-KY'
'榮科'
'傳奇'
'鑫禾'
'三星'
'訊連'
'科嘉-KY'
'全訊'
'東科-KY'
'達興材料'
'乙盛-KY'
'弘凱'
'虹堡'
'祥碩'
'禾聯碩'
'jpp-KY'
'界霖'
'豐祥-KY'
'華懋'
'桂盟'
'中磊'
'崇越'
'瀚宇博'
'松翰'
'慧友'
'建國'
'隆大'
'工信'
'遠雄'
'順天'
'鄉林'
'皇鼎'
'長虹'
'東明-KY'
'永固-KY'
'遠雄港'
'四維航'
'鳳凰'
'中租-KY'
'中租-KY甲特'
'上海商銀'
'合庫金'
'台南-KY'
'大洋-KY'
'群益證'
'群益期'
'競國'
'邁達特'
'鎰勝'
'彩晶'
'迎廣'
'達運'
'上福'
'金橋'
'富爾特'
'亞翔'
'柏承'
'友勁'
'百一'
'嘉聯益'
'鈞寶'
'華興'
'浪凡'
'凌華'
'宏齊'
'瑞儀'
'達麗'
'關貿'
